127.0.0.1 - - [13/Jan/2022:00:01:07 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:01:10 +0545] "GET /spring-security-demo/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:01:11 +0545] "GET /spring-security-demo/showMyLoginPage HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:01:35 +0545] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:01:35 +0545] "GET /spring-security-demo/showMyLoginPage?error HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:02:11 +0545] "GET /spring-security-demo/showMyLoginPage?error HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:02:19 +0545] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:02:19 +0545] "GET /spring-security-demo/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:02:40 +0545] "POST /spring-security-demo/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:02:40 +0545] "GET /spring-security-demo/showMyLoginPage?logout HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:02:50 +0545] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:02:50 +0545] "GET /spring-security-demo/ HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:03:01 +0545] "POST /spring-security-demo/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:03:01 +0545] "GET /spring-security-demo/showMyLoginPage?logout HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:03:09 +0545] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:03:09 +0545] "GET /spring-security-demo/ HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:03:11 +0545] "GET /spring-security-demo/showMyLoginPage?logout HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:03:15 +0545] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:03:15 +0545] "GET /spring-security-demo/showMyLoginPage?error HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:19:51 +0545] "GET /spring-security-demo/showMyLoginPage?error HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:20:07 +0545] "POST /spring-security-demo/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:00:20:07 +0545] "GET /spring-security-demo/ HTTP/1.1" 200 520
